throughput,upload_artificial,,
1625.31,100,59.5415,5G
1614.78,100,57.8728,5G
1656.37,100,66.8788,5G
1709.67,100,61.7265,5G
1625.20,100,66.0925,5G
1709.22,100,61.3528,5G
1677.71,100,62.3473,5G
1709.10,100,62.2225,5G
1688.28,100,59.7535,5G
1730.08,100,60.1958,5G
1698.70,100,63.1190,5G
1719.80,100,61.3768,5G
1750.94,100,57.9848,5G
1656.72,100,57.0775,5G
1772.17,100,57.5348,5G
1740.66,100,57.6283,5G
1646.29,100,60.9165,5G
1583.26,100,59.0228,5G
1667.33,100,65.3063,5G
1677.71,100,60.4850,5G
1656.74,100,63.0508,5G
1457.52,100,63.0538,5G
1667.20,100,61.8460,5G
1646.32,100,56.0323,5G
1614.78,100,58.6793,5G
1436.57,100,79.6020,5G
1551.93,100,65.1613,5G
1625.21,100,55.9353,5G
1635.79,100,62.1978,5G
1667.28,100,66.5223,5G
1593.86,100,61.4005,5G
1759.49,100,59.2405,5G
1499.67,100,99.9533,5G
1540.74,100,61.9608,5G
1458.18,100,66.6575,5G
1226.79,100,81.4153,5G
1488.34,100,68.3460,5G
1395.11,100,61.5128,5G
1373.72,100,66.8358,5G
1415.48,100,64.1368,5G
1426.14,100,63.5615,5G
1488.88,100,83.9138,5G
1488.68,100,58.9590,5G
1552.26,100,62.8988,5G
1688.15,100,66.0510,5G
1646.40,100,62.7835,5G
1646.29,100,67.6593,5G
1740.67,100,60.4108,5G
1488.90,100,74.5395,5G
1583.25,100,57.1865,5G
1688.33,100,56.6223,5G
1709.15,100,59.4785,5G
1740.72,100,59.9013,5G
1624.76,100,69.2168,5G
1615.34,100,61.7863,5G
1709.18,100,57.6613,5G
1625.23,100,62.8305,5G
1614.84,100,65.3618,5G
1656.69,100,65.0558,5G
1583.43,100,57.6305,5G
1478.06,100,81.6328,5G
1436.94,100,64.9248,5G
1677.71,100,66.6185,5G
1719.72,100,57.5953,5G
1646.26,100,64.7095,5G
1677.73,100,61.0265,5G
1478.38,100,68.7718,5G
1625.39,100,66.3015,5G
1625.25,100,65.6573,5G
1677.79,100,59.5528,5G
1719.72,100,56.1263,5G
1719.63,100,62.1070,5G
1748.45,100,64.1005,5G
1593.86,100,68.6938,5G
1551.80,100,75.7918,5G
1551.41,100,75.1760,5G
1499.78,100,66.0190,5G
1625.52,100,61.9503,5G
1625.29,100,56.8710,5G
1740.67,100,58.8175,5G
1751.12,100,57.4723,5G
1740.58,100,59.4365,5G
1667.24,100,62.6743,5G
1761.65,100,55.7593,5G
1656.81,100,63.6055,5G
1425.96,100,74.4433,5G
1436.60,100,56.2460,5G
1352.67,100,69.9160,5G
1331.61,100,73.8505,5G
1467.98,100,73.7538,5G
1405.04,100,75.3940,5G
1426.25,100,68.1758,5G
1541.38,100,65.1985,5G
1551.87,100,68.7650,5G
1729.56,100,55.3878,5G
1814.58,100,60.5380,5G
1772.13,100,55.7588,5G
1780.38,100,56.4355,5G
1774.27,100,54.8475,5G
1751.18,100,56.4168,5G
1793.02,100,57.9025,5G
1447.04,100,74.4400,5G
1468.03,100,60.8265,5G
1793.09,100,60.6783,5G
1772.09,100,60.4910,5G
1751.05,100,56.8463,5G
1719.74,100,60.0178,5G
1667.16,100,58.3788,5G
1688.19,100,61.8690,5G
1635.87,100,57.6403,5G
1729.96,100,56.7118,5G
1772.32,100,56.8695,5G
1782.43,100,57.3113,5G
1789.85,100,57.5300,5G
1751.28,100,58.5128,5G
1709.00,100,59.0128,5G
1604.48,100,64.1400,5G
1572.87,100,63.7900,5G
1646.25,100,58.6220,5G
1740.31,100,59.1998,5G
1730.27,100,57.8230,5G
1793.30,100,56.0830,5G
1677.61,100,60.1198,5G
1677.80,100,61.9603,5G
1698.72,100,58.1480,5G
1719.65,100,58.7653,5G
1761.59,100,60.0065,5G
1730.17,100,63.1965,5G
1677.66,100,75.2258,5G
1677.78,100,59.3260,5G
1646.24,100,88.3258,5G
1541.47,100,56.6128,5G
1562.34,100,56.7230,5G
1551.88,100,68.0543,5G
1604.30,100,56.0430,5G
1751.15,100,57.8390,5G
1730.14,100,68.6333,5G
1447.05,100,66.2365,5G
1447.03,100,57.2650,5G
1488.94,100,69.8803,5G
1499.48,100,66.4728,5G
1730.19,100,59.0370,5G
1562.35,100,68.3988,5G
1562.38,100,60.9788,5G
1550.46,100,68.7805,5G
1637.36,100,67.0128,5G
1530.88,100,64.4388,5G
1509.94,100,68.3213,5G
1572.87,100,76.6595,5G
1625.29,100,65.1443,5G
1667.17,100,55.8925,5G
1635.82,100,57.4803,5G
1625.20,100,63.0573,5G
1761.73,100,57.2918,5G
1663.68,100,57.6595,5G
943.60,100,77.1648,5G
1080.08,100,85.5548,5G
943.75,100,90.1505,5G
1006.58,100,90.9118,5G
922.84,100,93.9348,5G
912.22,100,98.3225,5G
901.74,100,102.4785,5G
933.27,100,90.9345,5G
891.32,100,85.7560,5G
975.18,100,87.1368,5G
1069.54,100,63.8998,5G
1142.96,100,64.1158,5G
1069.54,100,87.3843,5G
1090.51,100,72.3873,5G
1090.53,100,64.0498,5G
1080.04,100,55.3935,5G
1111.49,100,67.1020,5G
1038.06,100,76.1018,5G
1048.60,100,56.5538,5G
891.30,100,62.9063,5G
859.83,100,58.0883,5G
880.80,100,61.4078,5G
849.34,100,80.9758,5G
912.28,100,64.7948,5G
880.76,100,71.3128,5G
849.39,100,64.0590,5G
744.46,100,61.1365,5G
901.72,100,62.4298,5G
880.80,100,63.7613,5G
765.51,100,58.5088,5G
681.58,100,57.3555,5G
734.03,100,62.9425,5G
765.46,100,64.7523,5G
786.39,100,56.8055,5G
786.42,100,58.7353,5G
817.92,100,62.2750,5G
681.57,100,58.7813,5G
702.54,100,62.9328,5G
650.10,100,72.0255,5G
692.08,100,61.1653,5G
715.28,100,61.3353,5G
587.23,100,69.5480,5G
618.63,100,65.5458,5G
618.65,100,68.7050,5G
744.52,100,72.2905,5G
597.70,100,68.6413,5G
681.54,100,57.0930,5G
755.02,100,54.1720,5G
692.01,100,57.6528,5G
786.45,100,61.7530,5G
880.84,100,54.5700,5G
838.75,100,54.1775,5G
734.07,100,58.0820,5G
765.45,100,62.2265,5G
754.98,100,61.5018,5G
786.40,100,62.9020,5G
734.06,100,59.1498,5G
671.07,100,71.1835,5G
660.61,100,71.8943,5G
849.37,100,56.9425,5G
786.39,100,56.2358,5G
702.59,100,60.7248,5G
723.54,100,59.3128,5G
817.88,100,52.4883,5G
765.45,100,57.8185,5G
629.13,100,56.3920,5G
713.03,100,60.1593,5G
692.03,100,61.2133,5G
702.55,100,60.7845,5G
744.47,100,55.5825,5G
713.09,100,55.7585,5G
702.53,100,63.1185,5G
681.52,100,61.5298,5G
524.35,100,67.2570,5G
608.10,100,53.6360,5G
650.14,100,70.4743,5G
734.06,100,59.1068,5G
681.49,100,53.5968,5G
608.21,100,61.9595,5G
639.61,100,64.6253,5G
639.58,100,57.9620,5G
857.01,100,55.9130,5G
838.90,100,76.3310,5G
849.32,100,82.3343,5G
817.92,100,83.7383,5G
775.90,100,81.0185,5G
807.47,100,93.0898,5G
817.86,100,84.9985,5G
817.90,100,86.2140,5G
807.40,100,80.4208,5G
807.41,100,96.1088,5G
859.82,100,86.6110,5G
912.28,100,93.5865,5G
870.31,100,114.9378,5G
849.33,100,111.7308,5G
870.33,100,111.6375,5G
817.90,100,116.3593,5G
1069.58,100,70.3390,5G
1017.07,100,88.3175,5G
943.73,100,95.1688,5G
996.08,100,72.6455,5G
1080.08,100,74.4435,5G
1090.56,100,78.0313,5G
1142.95,100,71.1610,5G
1111.23,100,67.8075,5G
975.35,100,67.6493,5G
1111.47,100,77.1653,5G
1101.04,100,60.2355,5G
1080.13,100,74.8183,5G
912.19,100,64.4378,5G
859.85,100,68.6008,5G
891.22,100,61.6815,5G
933.31,100,63.6025,5G
922.71,100,66.0910,5G
744.49,100,57.0145,5G
629.12,100,66.6338,5G
660.62,100,62.1678,5G
671.10,100,63.3373,5G
650.11,100,71.1338,5G
713.04,100,59.1970,5G
754.98,100,58.0513,5G
713.00,100,61.2685,5G
1094.91,100,63.3858,5G
796.92,100,120.5430,5G
796.99,100,124.2430,5G
807.37,100,116.1305,5G
775.88,100,123.1628,5G
817.89,100,108.9080,5G
817.92,100,125.6235,5G
807.42,100,129.5930,5G
796.93,100,123.3293,5G
807.39,100,119.0303,5G
786.41,100,110.4560,5G
817.87,100,121.4948,5G
807.39,100,122.4063,5G
807.49,100,121.7535,5G
786.43,100,123.0360,5G
817.86,100,128.5578,5G
786.44,100,122.6890,5G
817.88,100,124.3355,5G
702.54,100,145.2773,5G
692.06,100,136.4728,5G
744.49,100,114.2423,5G
817.89,100,122.2615,5G
786.40,100,107.3770,5G
807.39,100,114.7155,5G
807.42,100,119.7798,5G
807.44,100,119.0548,5G
796.94,100,120.6105,5G
807.41,100,118.7358,5G
786.40,100,116.2710,5G
828.40,100,112.3755,5G
786.44,100,98.4660,5G
807.39,100,128.3765,5G
796.93,100,106.7278,5G
786.43,100,122.1660,5G
807.41,100,122.7220,5G
817.89,100,119.4418,5G
796.91,100,120.3360,5G
807.40,100,123.2505,5G
775.96,100,120.8798,5G
817.87,100,108.7903,5G
807.43,100,116.9755,5G
949.57,100,120.4883,5G
1268.97,100,150.2791,5G
1268.63,100,134.8826,5G
1468.14,100,111.2471,5G
1614.85,100,97.5620,5G
1824.56,100,110.2640,5G
1614.72,100,150.6703,5G
1247.86,100,93.8965,5G
1247.64,100,135.4719,5G
1237.39,100,135.5409,5G
1247.90,100,134.7459,5G
1237.18,100,113.6339,5G
1405.13,100,106.9313,5G
1562.39,100,109.8021,5G
1530.88,100,117.9328,5G
1499.44,100,111.7793,5G
1572.90,100,112.9966,5G
1509.92,100,118.2105,5G
1499.63,100,116.1631,5G
1509.96,100,118.6833,5G
1499.46,100,127.8695,5G
1530.91,100,109.3205,5G
1530.86,100,114.8481,5G
1604.33,100,118.9146,5G
1520.50,100,121.4820,5G
1541.40,100,118.5228,5G
1457.51,100,129.0108,5G
1530.97,100,124.7520,5G
1625.23,100,116.1939,5G
1583.35,100,122.7501,5G
1489.05,100,130.4500,5G
1488.92,100,130.3673,5G
1457.52,100,135.2124,5G
1520.43,100,137.2420,5G
1488.61,100,131.5938,5G
1520.77,100,128.9564,5G
1520.48,100,132.9621,5G
1530.92,100,126.7235,5G
1604.30,100,117.5124,5G
1604.35,100,128.0978,5G
1604.25,100,130.0501,5G
1565.81,100,138.1830,5G
2044.73,100,99.3803,5G
2055.24,100,96.7613,5G
2002.65,100,98.0643,5G
2055.31,100,100.0028,5G
2013.30,100,97.2310,5G
2055.16,100,95.8430,5G
2065.65,100,95.7289,5G
2013.23,100,96.9664,5G
2034.37,100,97.7789,5G
2034.17,100,97.2605,5G
2065.67,100,96.8173,5G
2013.26,100,114.5001,5G
2023.76,100,92.2471,5G
2044.73,100,88.6605,5G
2076.18,100,101.5344,5G
2002.71,100,99.7036,5G
2044.82,100,95.8784,5G
2034.06,100,99.4993,5G
2034.42,100,97.4738,5G
2023.70,100,99.9191,5G
2023.73,100,99.0485,5G
2002.78,100,99.0466,5G
2002.79,100,96.0790,5G
1992.35,100,99.5530,5G
2065.70,100,98.8414,5G
2013.21,100,100.7998,5G
1971.37,100,98.8151,5G
2034.29,100,96.3954,5G
2065.57,100,99.7746,5G
2034.29,100,97.9524,5G
2023.80,100,99.7196,5G
2023.68,100,99.6636,5G
1981.84,100,106.4298,5G
2013.26,100,97.6204,5G
2044.75,100,98.2653,5G
2055.19,100,99.9988,5G
2023.76,100,100.4918,5G
2034.24,100,96.1339,5G
2055.18,100,98.3826,5G
2034.26,100,99.5595,5G
1698.14,100,95.8580,5G
2065.67,100,95.9233,5G
2034.37,100,98.7488,5G
2044.62,100,97.6925,5G
2023.83,100,97.1034,5G
1845.38,100,100.8054,5G
1866.01,100,97.8090,5G
1751.67,100,111.3591,5G
1866.40,100,98.4959,5G
1918.85,100,121.2289,5G
2002.75,100,99.3519,5G
2034.38,100,98.4094,5G
1960.77,100,115.9456,5G
1950.48,100,96.0588,5G
2034.17,100,100.4385,5G
1918.94,100,98.5298,5G
2044.61,100,96.0990,5G
2023.79,100,97.3106,5G
2044.69,100,96.8426,5G
2055.25,100,96.6620,5G
2023.64,100,96.0234,5G
2002.77,100,86.0631,5G
1782.67,100,102.3774,5G
1761.57,100,113.7939,5G
1866.53,100,95.4901,5G
1971.32,100,100.6054,5G
1761.54,100,97.4870,5G
1950.37,100,96.7569,5G
1960.85,100,124.6323,5G
1719.69,100,111.1460,5G
1772.07,100,113.7431,5G
1793.06,100,106.6150,5G
2002.91,100,97.0455,5G
1950.27,100,114.8274,5G
1772.13,100,112.0716,5G
1855.92,100,109.2015,5G
1887.44,100,97.5176,5G
2023.75,100,95.1898,5G
1918.88,100,112.4771,5G
1876.98,100,97.7263,5G
2044.71,100,98.3875,5G
1500.98,100,96.7331,5G
1792.14,100,79.9636,5G
1772.12,100,85.2375,5G
1436.54,100,105.1720,5G
1530.81,100,102.8901,5G
1531.05,100,102.2196,5G
1489.06,100,107.9268,5G
1530.90,100,103.6807,5G
1593.81,100,101.4471,5G
1604.41,100,99.4043,5G
1363.18,100,116.3612,5G
1384.03,100,114.6843,5G
1709.43,100,94.1903,5G
1551.86,100,106.3865,5G
1814.18,100,92.5550,5G
1520.45,100,109.4504,5G
1499.40,100,112.5208,5G
1447.04,100,119.4330,5G
1541.44,100,116.1282,5G
1468.05,100,122.2073,5G
1447.09,100,125.5555,5G
1614.67,100,114.4626,5G
1793.07,100,106.7789,5G
1866.57,100,105.1468,5G
1898.05,100,101.3900,5G
1845.28,100,109.3766,5G
1793.00,100,108.9369,5G
1604.52,100,120.8048,5G
1730.08,100,114.8600,5G
1939.63,100,101.2112,5G
1981.83,100,97.2582,5G
2044.94,100,97.6074,5G
1908.36,100,102.9383,5G
1918.92,100,103.5805,5G
1709.16,100,110.1663,5G
1373.73,100,135.8724,5G
1530.92,100,128.6189,5G
1530.90,100,126.9216,5G
1310.78,100,143.3583,5G
1184.89,100,146.3313,5G
1279.21,100,137.1806,5G
1070.08,100,147.8769,5G
1342.02,100,128.5760,5G
1698.68,100,102.9774,5G
1384.10,100,125.4852,5G
1132.46,100,142.3557,5G
1530.95,100,110.8057,5G
1551.93,100,109.7916,5G
1384.09,100,123.2346,5G
1111.48,100,140.0089,5G
1069.55,100,146.0492,5G
1080.06,100,130.1395,5G
1384.11,100,108.9803,5G
1593.84,100,92.5710,5G
1625.30,100,90.5977,5G
1698.75,100,89.0732,5G
1446.95,100,105.1015,5G
1405.07,100,106.9940,5G
1279.28,100,118.1204,5G
1279.29,100,119.3282,5G
1142.94,100,138.2530,5G
883.41,100,131.6158,5G
580.78,100,137.7499,5G
989.02,100,112.6786,5G
1803.53,100,90.7313,5G
1415.60,100,115.9323,5G
1688.21,100,99.9293,5G
1824.56,100,93.3296,5G
1425.93,100,123.8864,5G
1824.62,100,89.1729,5G
1593.86,100,106.3775,5G
2023.72,100,84.6534,5G
2034.23,100,86.1465,5G
2023.63,100,87.4813,5G
2344.83,100,88.0672,5G
1845.52,100,98.3165,5G
1908.36,100,94.8732,5G
1478.57,100,125.6579,5G
1877.00,100,99.9374,5G
2034.27,100,90.7730,5G
1792.87,100,101.3545,5G
1604.41,100,115.3987,5G
1438.72,100,105.1843,5G
1593.80,100,119.3175,5G
1593.85,100,111.2961,5G
1562.28,100,125.7309,5G
1572.87,100,103.4209,5G
1751.16,100,95.0333,5G
1142.95,100,147.8251,5G
1184.85,100,154.2425,5G
1247.86,100,131.8604,5G
1405.15,100,113.8711,5G
1572.78,100,109.8508,5G
1583.40,100,114.1850,5G
1572.90,100,112.0141,5G
1583.35,100,113.8304,5G
1541.38,100,125.0116,5G
1331.69,100,141.9945,5G
1646.28,100,110.3848,5G
1646.28,100,94.9541,5G
1625.29,100,107.9300,5G
1572.86,100,105.7640,5G
1740.57,100,83.1801,5G
1761.68,100,99.6124,5G
1719.64,100,106.6305,5G
1436.10,100,113.8383,5G
1237.68,100,138.7616,5G
1132.41,100,81.3238,5G
1520.55,100,81.6660,5G
1517.34,100,109.2675,5G
1376.40,100,134.5739,5G
1457.53,100,107.6036,5G
1468.05,100,118.3741,5G
1405.07,100,119.9406,5G
1499.46,100,118.1258,5G
1709.11,100,107.3495,5G
1489.05,100,112.2524,5G
1583.34,100,105.3751,5G
1583.39,100,114.7621,5G
1604.29,100,93.2398,5G
1562.38,100,113.2618,5G
1499.47,100,107.9360,5G
1698.73,100,107.6183,5G
1548.32,100,110.4420,5G
1436.49,100,82.7683,5G
1635.79,100,79.1476,5G
1394.57,100,82.4176,5G
1405.07,100,95.4863,5G
1279.36,100,101.3283,5G
1310.70,100,92.0019,5G
1142.92,100,173.0436,5G
786.46,100,136.9324,5G
754.93,100,136.3035,5G
901.72,100,131.8329,5G
912.28,100,126.5575,5G
828.40,100,126.0233,5G
849.34,100,134.8051,5G
807.39,100,127.7563,5G
775.94,100,147.6534,5G
775.93,100,133.1560,5G
849.43,100,137.4136,5G
838.77,100,128.8288,5G
723.58,100,134.5815,5G
775.88,100,138.0249,5G
744.47,100,144.3995,5G
734.10,100,151.7728,5G
733.94,100,145.6110,5G
838.87,100,122.1265,5G
870.30,100,118.2751,5G
838.91,100,140.5308,5G
828.40,100,144.7889,5G
828.38,100,138.9334,5G
901.75,100,131.3454,5G
859.88,100,156.5660,5G
859.81,100,163.9445,5G
964.69,100,106.7236,5G
954.20,100,125.5020,5G
912.27,100,132.4278,5G
891.28,100,131.7881,5G
975.14,100,127.4699,5G
1027.64,100,118.8681,5G
1059.06,100,122.6871,5G
1174.40,100,85.6638,5G
1551.85,100,94.7578,5G
2006.04,100,94.4070,5G
1184.88,100,76.3280,5G
1122.00,100,65.8254,5G
1048.58,100,61.1000,5G
985.67,100,72.0961,5G
1006.62,100,70.2969,5G
859.86,100,69.4185,5G
891.27,100,58.3109,5G
943.72,100,61.8774,5G
891.28,100,66.3808,5G
838.85,100,91.1093,5G
891.30,100,60.5355,5G
964.70,100,58.1055,5G
838.86,100,58.8668,5G
901.77,100,56.1806,5G
912.26,100,56.0543,5G
933.24,100,59.3636,5G
943.72,100,58.1104,5G
933.24,100,59.5381,5G
985.64,100,64.6361,5G
1048.59,100,61.3695,5G
1059.05,100,71.9675,5G
1090.50,100,70.6889,5G
1017.13,100,89.4510,5G
964.74,100,102.9710,5G
943.64,100,89.6018,5G
1184.95,100,73.8684,5G
1090.50,100,105.9316,5G
1100.96,100,96.3471,5G
1080.09,100,111.5576,5G
1142.94,100,94.8915,5G
1205.87,100,100.0999,5G
1226.87,100,84.1464,5G
1163.89,100,98.2358,5G
1080.03,100,132.2291,5G
1195.38,100,106.6908,5G
1237.29,100,104.6379,5G
1163.94,100,103.3618,5G
1174.41,100,87.5330,5G
1132.45,100,95.3121,5G
1080.04,100,104.1466,5G
1245.47,100,72.1241,5G
980.36,100,70.1803,5G
1082.55,100,74.9029,5G
1119.36,100,75.3951,5G
1087.36,100,66.5220,5G
1114.69,100,61.6283,5G
1084.62,100,72.0176,5G
1073.91,100,77.1744,5G
1041.29,100,57.4320,5G
907.70,100,58.2415,5G
878.56,100,58.4860,5G
828.85,100,64.5513,5G
917.94,100,59.8548,5G
847.85,100,62.0993,5G
946.49,100,55.9990,5G
902.66,100,58.4580,5G
950.24,100,60.7705,5G
818.25,100,60.3060,5G
835.75,100,65.8820,5G
904.65,100,59.6394,5G
951.78,100,66.2620,5G
874.60,100,60.7265,5G
948.76,100,60.8550,5G
939.24,100,61.3700,5G
886.46,100,67.3519,5G
817.85,100,70.9033,5G
828.58,100,63.2601,5G
847.67,100,60.2795,5G
888.79,100,72.6728,5G
939.07,100,63.2968,5G
779.41,100,62.9076,5G
850.23,100,75.3551,5G
847.94,100,65.5055,5G
828.85,100,68.8431,5G
748.98,100,58.7123,5G
746.94,100,64.3133,5G
807.82,100,71.5021,5G
868.93,100,66.8998,5G
879.94,100,65.3171,5G
841.96,100,70.9630,5G
826.23,100,66.9809,5G
1044.65,100,68.1954,5G
2044.51,100,91.2594,5G
2034.41,100,88.5339,5G
2013.20,100,89.4938,5G
2108.00,100,94.6734,5G
2034.28,100,96.4513,5G
2002.90,100,94.9566,5G
2034.24,100,102.5509,5G
2076.50,100,106.1729,5G
2013.12,100,112.0551,5G
2075.80,100,116.3880,5G
1823.74,100,132.8258,5G
1259.30,100,191.5533,5G
1405.08,100,156.6232,5G
1730.02,100,133.2152,5G
1688.19,100,139.0822,5G
1656.92,100,148.0358,5G
1687.96,100,145.0841,5G
1730.21,100,144.8298,5G
1698.91,100,148.9212,5G
1541.34,100,151.3387,5G
1635.85,100,150.2878,5G
1635.88,100,143.7704,5G
1572.85,100,145.1465,5G
1604.32,100,148.3296,5G
1562.37,100,147.0066,5G
1573.42,100,147.5765,5G
1279.28,100,160.9471,5G
1551.84,100,135.6117,5G
1981.81,100,95.9426,5G
1992.28,100,101.0254,5G
1897.96,100,110.7798,5G
2002.81,100,109.3370,5G
2013.22,100,109.9388,5G
2023.89,100,109.3162,5G
2034.23,100,111.4224,5G
2023.72,100,112.9099,5G
2034.43,100,117.2471,5G
2023.58,100,117.4920,5G
2002.76,100,119.6240,5G
2034.39,100,122.0802,5G
2614.67,100,126.1314,5G
1614.87,100,178.3555,5G
1635.73,100,109.6534,5G
1688.20,100,114.9204,5G
1929.30,100,110.8849,5G
1866.57,100,118.5346,5G
1739.94,100,112.9218,5G
1888.09,100,151.5052,5G
1740.70,100,120.6963,5G
1646.19,100,167.3431,5G
1918.97,100,126.6484,5G
1646.19,100,138.8276,5G
1572.95,100,140.3996,5G
1677.74,100,194.9855,5G
1814.02,100,135.3267,5G
1897.93,100,126.5386,5G
1688.13,100,147.0658,5G
1688.29,100,152.1038,5G
